,,,Away,,Away,,Away,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,379,6.316667,0.78749,0.578984,0.742833,0.66689,0.587522,0.492491,nan,nan
1,380,6.333333,0.788158,0.578718,0.74346,0.668687,0.588249,0.491854,nan,nan
1,381,6.35,0.788826,0.578452,0.744086,0.670484,0.588975,0.491217,nan,nan
1,382,6.366667,0.789494,0.578186,0.744713,0.672281,0.589702,0.490581,nan,nan
1,383,6.383333,0.790162,0.57792,0.745339,0.674078,0.590429,0.489944,nan,nan
1,384,6.4,0.790829,0.577653,0.745966,0.675875,0.591155,0.489307,nan,nan
1,385,6.416667,0.791497,0.577387,0.746593,0.677671,0.591882,0.48867,nan,nan
1,386,6.433333,0.792165,0.577121,0.747219,0.679468,0.592608,0.488034,nan,nan
1,387,6.45,0.792833,0.576855,0.747846,0.681265,0.593335,0.487397,nan,nan
1,388,6.466667,0.79224,0.575957,0.748211,0.682428,0.594403,0.486395,nan,nan
1,389,6.483333,0.791646,0.575058,0.748576,0.68359,0.59547,0.485393,nan,nan
1,390,6.5,0.791053,0.57416,0.748941,0.684753,0.596538,0.484391,nan,nan
1,391,6.516667,0.79046,0.573262,0.749306,0.685916,0.597605,0.483388,nan,nan
1,392,6.533333,0.789867,0.572363,0.749671,0.687078,0.598673,0.482386,nan,nan
1,393,6.55,0.789273,0.571465,0.750036,0.688241,0.59974,0.481384,nan,nan
1,394,6.566667,0.78868,0.570566,0.750401,0.689404,0.600808,0.480382,nan,nan
1,395,6.583333,0.788087,0.569668,0.750766,0.690566,0.601875,0.47938,nan,nan
1,396,6.6,0.787494,0.56877,0.75113,0.691729,0.602943,0.478377,nan,nan
1,397,6.616667,0.786901,0.567871,0.751496,0.692892,0.604011,0.477375,nan,nan
1,398,6.633333,0.786307,0.566973,0.75186,0.694054,0.605078,0.476373,nan,nan
1,399,6.65,0.785714,0.566075,0.752225,0.695217,0.606146,0.475371,nan,nan
1,400,6.666667,0.785121,0.565176,0.75259,0.69638,0.607214,0.474368,nan,nan
1,401,6.683333,0.784528,0.564278,0.752955,0.697542,0.608281,0.473366,nan,nan
1,402,6.7,0.783935,0.56338,0.75332,0.698705,0.609349,0.472364,nan,nan
1,403,6.716667,0.783341,0.562481,0.753685,0.699868,0.610417,0.471361,nan,nan
1,404,6.733333,0.782748,0.561583,0.75405,0.70103,0.611485,0.470359,nan,nan
1,405,6.75,0.782155,0.560684,0.754376,0.701313,0.612552,0.469357,nan,nan
