Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,,,1,566,9.433333,,,,,0.668563,0.494791,,
Home,,,1,567,9.45,,,,,0.66516,0.490802,,
Home,,,1,568,9.466667,,,,,0.662031,0.487703,,
Home,,,1,569,9.483333,,,,,0.658903,0.484603,,
Home,,,1,570,9.5,,,,,0.655775,0.481504,,
Home,,,1,571,9.516667,,,,,0.652647,0.478405,,
Home,,,1,572,9.533333,,,,,0.649519,0.475306,,
Home,,,1,573,9.55,,,,,0.646391,0.472206,,
Home,,,1,574,9.566667,,,,,0.643262,0.469107,,
Home,,,1,575,9.583333,,,,,0.640134,0.466008,,
Home,,,1,576,9.6,,,,,0.637006,0.462909,,
Home,,,1,577,9.616667,,,,,0.633878,0.45981,,
Home,,,1,578,9.633333,,,,,0.630751,0.456711,,
Home,,,1,579,9.65,,,,,0.627654,0.453796,,
Home,,,1,580,9.666667,,,,,0.624558,0.450881,,
Home,,,1,581,9.683333,,,,,0.621462,0.447967,,
Home,,,1,582,9.7,,,,,0.618365,0.445052,,
Home,,,1,583,9.716667,,,,,0.615269,0.442137,,
Home,,,1,584,9.733333,,,,,0.612173,0.439222,,
Home,,,1,585,9.75,,,,,0.609077,0.436307,,
Home,,,1,586,9.766667,,,,,0.60598,0.433393,,
Home,,,1,587,9.783333,,,,,0.602836,0.431089,,
Home,,,1,588,9.8,,,,,0.599692,0.428785,,
Home,,,1,589,9.816667,,,,,0.596547,0.426481,,
Home,,,1,590,9.833333,,,,,0.593403,0.424177,,
Home,,,1,591,9.85,,,,,0.590259,0.421873,,
Home,,,1,592,9.866667,,,,,0.587115,0.419569,,
Home,,,1,593,9.883333,,,,,0.583971,0.417265,,
Home,,,1,594,9.9,,,,,0.580914,0.415075,,
Home,,,1,595,9.916667,,,,,0.577857,0.412885,,
Home,,,1,596,9.933333,,,,,0.574801,0.410696,,
Home,,,1,597,9.95,,,,,0.571744,0.408506,,
Home,,,1,598,9.966667,,,,,0.568688,0.406316,,
Home,,,1,599,9.983333,,,,,0.565632,0.404127,,
Home,,,1,600,10.0,,,,,0.562575,0.401937,,
